timestamp_utc,product,area_name,location_type,location_name,lat,lon,value,mean,min,max,pixel_count,fetched_at_utc
2026-05-15T03:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:48Z
2026-05-15T03:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T03:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T03:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T03:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T03:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,area,cepina,,,,0.000,0.000,0.000,11,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,vertex,cepina_v3,46.445379,10.305283,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,vertex,cepina_v4,46.437605,10.305652,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T06:00:00Z,CUM3,cepina,vertex,cepina_v5,46.432080,10.308301,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T09:00:00Z,CUM3,cepina,area,cepina,,,,0.931,0.000,1.770,11,2026-05-20T07:39:48Z
2026-05-15T09:00:00Z,CUM3,cepina,vertex,cepina_v1,46.455721,10.357806,0.000,,,,,2026-05-20T07:39:48Z
2026-05-15T09:00:00Z,CUM3,cepina,vertex,cepina_v2,46.453856,10.308666,2.200,,,,,2026-05-20T07:39:48Z
